Date,Open,High,Low,Close,Volume
2024-03-01,273.0,279.0,271.8,277.4,27952651
2024-03-04,277.4,280.0,274.8,276.2,13832089
2024-03-05,270.2,273.2,266.2,268.2,26055083
2024-03-06,266.0,277.0,265.8,274.6,23289346
2024-03-07,274.8,275.6,269.2,271.0,17159729
2024-03-08,272.0,275.6,270.0,270.0,12416156
2024-03-11,271.2,278.6,271.2,278.6,17866889
2024-03-12,282.0,292.6,280.2,290.8,36531141
2024-03-13,291.4,294.0,288.6,290.6,20074418
2024-03-14,289.4,294.0,286.8,289.2,14227432
2024-03-15,283.0,286.2,279.6,283.8,29183023
2024-03-18,282.2,291.4,282.2,289.8,19633305
2024-03-19,289.0,291.2,285.0,285.0,15635351
2024-03-20,285.4,290.2,283.0,288.8,15622235
2024-03-21,295.2,298.2,289.6,291.2,36868686
2024-03-22,287.4,290.4,282.4,288.8,26432205
2024-03-25,288.8,290.6,285.0,288.6,21127168
2024-03-26,286.0,300.6,286.0,299.4,33998571
2024-03-27,296.0,307.6,295.8,302.0,38753084
2024-03-28,302.0,309.6,301.4,303.8,30000843
2024-04-02,309.0,312.4,307.8,309.2,26561604
2024-04-03,312.0,312.0,306.4,308.4,19696947
2024-04-05,309.6,311.6,304.4,310.0,13582369
2024-04-08,305.2,311.0,304.4,305.4,21656541
2024-04-09,307.4,308.8,303.0,305.0,17879375
2024-04-10,306.4,315.2,306.4,314.2,24730145
2024-04-11,309.8,316.6,309.0,315.0,18834968
2024-04-12,314.0,318.0,309.4,309.6,23031342
2024-04-15,304.6,308.8,303.8,304.4,18295291
2024-04-16,301.2,308.4,300.0,301.8,19691636
2024-04-17,301.8,304.0,297.8,300.8,14410544
2024-04-18,302.2,308.8,298.6,304.4,19058907
2024-04-19,303.4,305.4,299.6,303.8,19472600
2024-04-22,308.0,322.6,306.8,320.4,41133325
2024-04-23,326.0,333.6,325.2,332.4,43821652
2024-04-24,337.8,345.0,335.4,344.2,41472682
2024-04-25,340.2,346.4,336.4,339.4,27727556
2024-04-26,340.0,351.8,340.0,348.4,29599531
2024-04-29,348.4,354.8,345.2,347.6,25416523
2024-04-30,349.6,350.8,344.0,347.2,15957023
2024-05-02,349.0,361.2,345.4,360.4,22479610
2024-05-03,371.0,372.6,360.6,364.4,23592345
2024-05-06,364.6,373.0,363.0,370.2,26208326
2024-05-07,367.4,371.2,363.4,365.8,19408056
2024-05-08,366.4,371.8,359.8,361.4,20058148
2024-05-09,361.0,370.0,360.4,369.8,16026030
2024-05-10,373.8,374.2,365.0,371.0,15693045
2024-05-13,368.6,380.0,368.0,378.2,20558084
2024-05-14,381.0,384.8,378.6,381.8,21603101
2024-05-16,400.0,401.0,394.6,397.0,58430778
2024-05-17,397.0,400.2,394.2,395.0,27916392
2024-05-20,397.0,399.8,392.8,395.0,22331961
2024-05-21,393.4,393.4,379.6,383.6,30679849
2024-05-22,379.2,386.8,376.6,384.4,22374764
2024-05-23,380.6,384.0,376.4,381.8,18323988
2024-05-24,378.2,382.6,374.8,377.0,19143321
2024-05-27,372.0,377.6,362.4,377.4,32132068
2024-05-28,377.2,386.0,373.4,380.2,16614787
2024-05-29,377.4,379.8,369.6,371.0,27378220
2024-05-30,370.0,374.2,365.8,368.0,22006500
2024-05-31,371.2,379.0,359.8,359.8,40035868
2024-06-03,366.8,379.0,366.6,375.0,28125374
2024-06-04,375.0,379.6,373.8,377.4,18043066
2024-06-05,377.6,387.8,377.6,380.8,20205424
2024-06-06,387.4,391.0,379.0,381.6,18888938
2024-06-07,383.0,384.6,372.8,374.8,25247259
2024-06-11,367.4,377.8,367.4,373.8,26496779
2024-06-12,373.8,377.8,369.6,370.8,14960058
2024-06-13,376.4,380.6,373.6,379.8,15337042
2024-06-14,383.6,383.6,378.6,379.8,20859332
2024-06-17,376.2,385.8,374.8,381.2,15281150
2024-06-18,381.4,383.8,377.0,377.0,14278934
2024-06-19,380.4,391.0,378.4,389.0,22313477
2024-06-20,392.0,392.0,385.6,387.6,14049005
2024-06-21,383.8,385.2,378.0,381.4,25855005
2024-06-24,377.6,381.0,374.0,380.4,12919565
2024-06-25,381.8,385.0,378.6,382.0,12789522
2024-06-26,379.2,383.0,377.0,382.0,11886907
2024-06-27,379.6,380.0,372.2,374.4,17513758
2024-06-28,371.6,376.0,370.8,372.4,15561097
2024-07-02,367.0,376.2,365.2,369.2,27266647
2024-07-03,366.8,380.8,366.8,379.4,22256951
2024-07-04,386.8,386.8,378.6,382.4,15437093
2024-07-05,384.8,385.6,378.8,379.8,10522095
2024-07-08,381.8,383.2,375.6,378.6,11623215
2024-07-09,377.0,382.2,376.0,381.0,13024401
2024-07-10,385.2,385.8,376.8,377.6,15586645
2024-07-11,379.4,386.0,378.2,384.8,16590064
2024-07-12,390.8,397.2,389.2,397.0,27521352
2024-07-15,393.2,397.0,388.6,390.2,13680185
2024-07-16,386.0,387.4,377.8,378.0,19061149
2024-07-17,375.0,377.4,368.4,371.8,25857823
2024-07-18,368.0,371.6,367.0,369.2,18944747
2024-07-19,366.6,368.4,363.0,364.0,23088518
2024-07-22,367.2,375.8,365.4,373.2,16960926
2024-07-23,375.0,376.4,366.0,366.2,12104461
2024-07-24,365.8,369.6,360.6,363.2,11800216
2024-07-25,360.2,361.6,351.0,351.2,25787277
2024-07-26,352.8,358.4,352.4,354.4,13267324
2024-07-29,359.8,362.0,353.8,358.2,12872249
2024-07-30,355.4,357.6,352.4,353.6,9749595
2024-07-31,352.2,366.8,351.0,362.2,20304313
2024-08-01,363.8,368.6,363.6,365.6,12412285
2024-08-02,360.8,365.4,356.2,358.2,17707597
2024-08-05,352.0,364.2,349.0,356.6,22963458
2024-08-06,360.6,363.4,349.4,354.4,17674374
2024-08-07,355.2,365.4,355.2,363.4,15840290
2024-08-08,361.2,374.4,359.4,368.2,18811540
2024-08-09,371.4,376.0,368.4,370.0,16353916
2024-08-12,372.0,376.6,370.0,375.0,10215275
2024-08-13,376.0,380.6,375.6,378.6,13590391
2024-08-14,378.6,379.4,369.4,373.8,18692686
2024-08-15,366.2,374.8,364.2,368.4,21443850
2024-08-16,372.0,375.2,368.8,372.6,16414338
2024-08-19,377.6,377.6,371.2,372.6,15210162
