date,price,prediction,confidence,risk_score,expected_move,trend_score,momentum_score,volume_score,solar_confluence,solar_bonus,actual_outcome,actual_move_pct
2020-01-01,28189.75,BULLISH,84.2,30.4,10.85,0.700,-0.020,-0.150,15,0.00,BEARISH,-16.269282274585624
2020-03-01,26129.93,BEARISH,68.0,61.5,-7.60,-0.350,-0.080,0.000,10,0.00,BEARISH,-12.125788320137096
2020-03-31,23603.48,BEARISH,90.0,83.5,-12.00,-1.000,-0.160,-0.200,35,0.10,NEUTRAL,2.9563437255862244
2020-04-30,24643.59,BEARISH,78.0,66.5,-9.60,-0.550,0.000,0.000,10,0.00,NEUTRAL,0.9720580483606458
2020-05-30,22961.47,BEARISH,90.0,76.1,-12.00,-0.850,-0.050,0.000,20,0.00,BULLISH,10.716169304491393
2020-07-29,24883.14,BULLISH,69.0,38.0,7.80,0.400,0.000,0.000,0,0.00,NEUTRAL,-0.3856024601396798
2020-08-28,25422.06,BULLISH,71.0,37.0,8.20,0.400,0.080,0.000,0,0.00,NEUTRAL_BULLS,5.496761474089824
2020-09-27,23235.42,BEARISH,90.0,78.8,-12.00,-1.000,0.100,0.000,0,0.00,BULLISH,13.561794880402434
2020-10-27,24787.19,BEARISH,68.5,61.8,-7.70,-0.400,-0.100,0.200,0,0.00,BULLISH,21.671758678575507
2020-11-26,26819.45,BULLISH,90.0,18.8,12.00,1.000,-0.020,0.200,0,0.00,BULLISH,10.808536342095012
2020-12-26,26386.56,BULLISH,90.0,25.5,12.00,0.850,-0.080,0.000,30,0.10,NEUTRAL_BULLS,7.389633207208514
2021-01-01,27231.13,BULLISH,90.0,22.5,12.00,0.850,0.160,0.000,15,0.00,NEUTRAL_BULLS,6.270801101533431
2021-01-31,28283.71,BULLISH,90.0,21.1,12.00,0.850,0.150,0.200,0,0.00,NEUTRAL,1.5598024445873682
2021-03-02,29095.86,BULLISH,90.0,22.6,12.00,0.850,0.150,0.000,10,0.00,NEUTRAL,0.19226102957602453
2021-04-01,28938.74,BULLISH,90.0,32.5,12.00,0.550,0.080,0.000,35,0.10,NEUTRAL,-0.3828432060276324
2021-06-30,28827.95,BULLISH,67.0,39.0,7.40,0.400,-0.080,0.000,0,0.00,BEARISH,-15.01168137172432
2021-07-30,25961.03,BEARISH,90.0,82.0,-12.00,-1.000,-0.160,0.000,0,0.00,NEUTRAL,-1.5611861316750502
2021-08-29,25407.89,BEARISH,90.0,82.0,-12.00,-1.000,-0.160,0.000,10,0.00,NEUTRAL_BEARS,-5.224243335436351
2021-09-28,24500.39,BEARISH,90.0,77.5,-12.00,-0.850,-0.160,0.000,0,0.00,NEUTRAL_BEARS,-5.210651748808901
