Date,Price,Prediction,Confidence,Risk,Actual,Outcome,Types
2020-01-01,28189.75,NEUTRAL,50.0,51.57894736842105,-16.27,BEARISH,B:2/E:3
2020-01-31,26312.63,BULLISH,61.4,38.60933211344923,-6.34,NEUTRAL_BEARS,B:3/E:2
2020-03-01,26129.93,NEUTRAL,50.0,41.43019296254257,-12.13,BEARISH,B:3/E:2
2020-03-31,23603.48,NEUTRAL,50.0,44.59518599562362,2.96,NEUTRAL,B:3/E:2
2020-04-30,24643.59,BEARISH,62.0,62.03208556149732,0.97,NEUTRAL,B:3/E:1
2020-05-30,22961.47,NEUTRAL,50.0,43.86819484240687,10.72,BULLISH,B:3/E:3
2020-06-29,24301.28,NEUTRAL,50.0,44.132029339853304,-4.39,NEUTRAL,B:3/E:1
2020-07-29,24883.14,NEUTRAL,50.0,46.288951841359776,-0.39,NEUTRAL,B:3/E:2
2020-08-28,25422.06,BULLISH,61.1,38.8768898488121,5.50,NEUTRAL_BULLS,B:3/E:2
2020-09-27,23235.42,NEUTRAL,50.0,52.35508802060971,13.56,BULLISH,B:3/E:3
2020-10-27,24787.19,BULLISH,66.0,34.013605442176875,21.67,BULLISH,B:3/E:2
2020-11-26,26819.45,BULLISH,70.4,29.62900505902192,10.81,BULLISH,B:4/E:2
2020-12-26,26386.56,BULLISH,63.1,36.88195991091314,7.39,NEUTRAL_BULLS,B:3/E:2
2021-01-25,30159.01,BEARISH,71.0,71.02409638554217,-3.58,NEUTRAL,B:5/E:2
2021-02-24,29718.24,BULLISH,69.1,30.940254652301675,-2.72,NEUTRAL,B:3/E:2
2021-03-26,28336.43,NEUTRAL,50.0,45.19893899204244,1.93,NEUTRAL,B:2/E:2
2021-04-25,29078.75,NEUTRAL,50.0,53.19709953856295,-6.04,NEUTRAL_BEARS,B:3/E:1
2021-05-25,28910.86,BULLISH,68.6,31.379310344827587,-13.15,BEARISH,B:4/E:1
2021-06-24,28882.46,BEARISH,65.3,65.34482758620689,-16.14,BEARISH,B:3/E:2
2021-07-24,27321.98,NEUTRAL,50.0,47.157622739018095,-4.37,NEUTRAL,B:3/E:2
2021-08-23,25109.59,NEUTRAL,50.0,40.85339168490153,-0.24,NEUTRAL,B:3/E:3
2021-09-22,24221.54,NEUTRAL,50.0,54.40413262854397,-5.16,NEUTRAL_BEARS,B:3/E:3
2021-10-22,26126.93,NEUTRAL,50.0,50.0,-4.50,NEUTRAL,B:3/E:2
2021-11-21,25049.97,NEUTRAL,50.0,45.62659846547315,-2.88,NEUTRAL,B:2/E:3
2021-12-21,22971.33,BEARISH,61.9,61.94501018329939,-7.62,NEUTRAL_BEARS,B:3/E:3
2022-01-20,24952.35,BEARISH,62.6,62.56830601092895,-16.06,BEARISH,B:3/E:2
2022-02-19,24327.71,NEUTRAL,50.0,58.57056329497274,-14.84,BEARISH,B:2/E:2
2022-03-21,21221.34,BEARISH,64.4,64.41050375133976,-0.69,NEUTRAL,B:3/E:2
2022-04-20,20944.67,NEUTRAL,50.0,46.081081081081074,-1.35,NEUTRAL,B:3/E:3
2022-05-20,20717.24,NEUTRAL,50.0,43.28947368421052,-4.60,NEUTRAL,B:3/E:2
2022-06-19,21075.00,BULLISH,60.8,39.1644908616188,-10.98,BEARISH,B:3/E:1
2022-07-19,20661.06,NEUTRAL,50.0,57.063937184520476,-19.59,BEARISH,B:3/E:3
2022-08-18,19763.91,NEUTRAL,50.0,58.54838709677419,-7.63,NEUTRAL_BEARS,B:3/E:2
2022-09-17,18761.69,NEUTRAL,50.0,58.06000916170408,3.67,NEUTRAL,B:3/E:3
2022-10-17,16612.90,NEUTRAL,50.0,43.53075170842824,30.85,BULLISH,B:3/E:3
2022-11-16,18256.48,NEUTRAL,50.0,59.31232091690544,15.65,BULLISH,B:3/E:2
2022-12-16,19450.67,NEUTRAL,50.0,54.39739413680782,-1.27,NEUTRAL,B:2/E:3
2023-01-15,21738.66,BEARISH,67.3,67.34130634774608,-5.98,NEUTRAL_BEARS,B:3/E:2
2023-02-14,21113.76,BEARISH,67.7,67.69672855879753,-5.41,NEUTRAL_BEARS,B:4/E:2
2023-03-16,19203.91,BULLISH,60.0,39.98091603053436,1.06,NEUTRAL,B:3/E:2
2023-04-15,20438.81,BULLISH,78.0,22.017075773746,-5.02,NEUTRAL_BEARS,B:4/E:2
2023-05-15,19971.13,NEUTRAL,50.0,54.67349551856594,-4.49,NEUTRAL,B:2/E:2
2023-06-14,19408.42,BULLISH,63.4,36.6412213740458,-7.12,NEUTRAL_BEARS,B:3/E:1
2023-07-14,19413.78,BEARISH,71.5,71.46916565900847,-6.06,NEUTRAL_BEARS,B:3/E:2
2023-08-13,19075.19,NEUTRAL,50.0,44.89199491740788,-9.81,NEUTRAL_BEARS,B:3/E:2
2023-09-12,18025.89,NEUTRAL,50.0,59.82132041187159,-10.12,BEARISH,B:3/E:2
2023-10-12,18238.21,BEARISH,61.7,61.705998033431655,-11.74,BEARISH,B:3/E:3
2023-11-11,17203.26,NEUTRAL,50.0,56.85063410051668,-8.47,NEUTRAL_BEARS,B:3/E:2
