Date,Price,Pred,Conf,Risk,Regime,Actual,Outcome
2020-01-01,28189.75,BEARISH,59.1,49.361702127659576,RANGING,-16.27,BEARISH
2020-01-31,26312.63,BEARISH,73.1,54.03508771929825,RANGING,-6.34,NEUTRAL_BEARS
2020-03-01,26129.93,BEARISH,64.1,51.02040816326531,RANGING,-12.13,BEARISH
2020-03-31,23603.48,BULLISH,90.0,42.21105527638191,VOLATILE,2.96,NEUTRAL
2020-04-30,24643.59,BEARISH,90.0,62.655601659751035,RANGING,0.97,NEUTRAL
2020-05-30,22961.47,BEARISH,90.0,62.30769230769231,STRONG_DOWNTREND,10.72,BULLISH
2020-06-29,24301.28,BULLISH,78.5,44.16666666666667,RANGING,-4.39,NEUTRAL
2020-07-29,24883.14,BULLISH,87.0,41.3265306122449,RANGING,-0.39,NEUTRAL
2020-08-28,25422.06,BEARISH,68.9,52.63157894736842,RANGING,5.50,NEUTRAL_BULLS
2020-09-27,23235.42,BEARISH,65.8,45.588235294117645,STRONG_DOWNTREND,13.56,BULLISH
2020-10-27,24787.19,BULLISH,90.0,33.78378378378379,STRONG_DOWNTREND,21.67,BULLISH
2020-11-26,26819.45,BULLISH,90.0,41.919191919191924,STRONG_UPTREND,10.81,BULLISH
2020-12-26,26386.56,BEARISH,64.1,51.02040816326531,RANGING,7.39,NEUTRAL_BULLS
2021-01-01,27231.13,BEARISH,69.2,46.72897196261682,STRONG_UPTREND,6.27,NEUTRAL_BULLS
2021-01-31,28283.71,BEARISH,57.9,48.968105065666045,RANGING,1.56,NEUTRAL
2021-03-02,29095.86,BEARISH,70.8,50.25125628140704,VOLATILE,0.19,NEUTRAL
2021-04-01,28938.74,BULLISH,81.7,43.10344827586207,RANGING,-0.38,NEUTRAL
2021-05-01,28724.88,BEARISH,64.1,51.02040816326531,RANGING,-9.62,NEUTRAL_BEARS
2021-05-31,29151.80,BEARISH,64.1,51.02040816326531,RANGING,-12.84,BEARISH
2021-06-30,28827.95,BEARISH,64.1,51.02040816326531,RANGING,-15.01,BEARISH
2021-07-30,25961.03,BULLISH,90.0,39.473684210526315,RANGING,-1.56,NEUTRAL
2021-08-29,25407.89,BEARISH,67.8,46.26168224299065,STRONG_DOWNTREND,-5.22,NEUTRAL_BEARS
2021-09-28,24500.39,BEARISH,55.5,42.17894096165551,STRONG_DOWNTREND,-5.21,NEUTRAL_BEARS
2021-10-28,25555.73,BEARISH,79.3,50.101010101010104,STRONG_DOWNTREND,-4.95,NEUTRAL
2021-11-27,24080.52,BEARISH,90.0,57.94392523364486,STRONG_DOWNTREND,-5.45,NEUTRAL_BEARS
2021-12-27,23223.76,BULLISH,90.0,37.32394366197183,RANGING,-7.83,NEUTRAL_BEARS
2022-01-01,23397.67,BEARISH,72.6,47.87644787644788,STRONG_DOWNTREND,-5.80,NEUTRAL_BEARS
2022-01-31,23802.26,BEARISH,73.2,54.08163265306123,RANGING,-11.40,BEARISH
2022-03-02,22343.92,BULLISH,90.0,38.20754716981132,RANGING,-4.16,NEUTRAL
2022-04-01,22039.55,BEARISH,84.3,54.77386934673367,VOLATILE,-0.82,NEUTRAL
2022-05-01,21089.39,BEARISH,90.0,55.42635658914729,STRONG_DOWNTREND,-4.42,NEUTRAL
2022-05-31,21415.20,BEARISH,90.0,57.94392523364486,STRONG_DOWNTREND,-6.50,NEUTRAL_BEARS
2022-06-30,21859.79,BEARISH,73.2,54.08163265306123,RANGING,-21.08,BEARISH
2022-07-30,20156.51,BEARISH,73.2,54.08163265306123,RANGING,-26.26,BEARISH
2022-08-29,20023.22,BEARISH,73.2,54.08163265306123,RANGING,-12.23,BEARISH
2022-09-28,17250.88,BULLISH,90.0,41.127694859038144,STRONG_DOWNTREND,13.58,BULLISH
2022-10-28,14863.06,BEARISH,90.0,57.01754385964912,STRONG_DOWNTREND,51.83,BULLISH
2022-11-27,17573.58,BEARISH,73.2,54.08163265306123,RANGING,13.86,BULLISH
2022-12-27,19593.06,BEARISH,73.2,54.08163265306123,RANGING,-0.13,NEUTRAL
2023-01-01,19781.41,BULLISH,87.0,41.3265306122449,RANGING,3.13,NEUTRAL
2023-01-31,21842.33,BEARISH,70.2,53.068592057761734,RANGING,-8.92,NEUTRAL_BEARS
2023-03-02,20429.46,BEARISH,69.2,46.72897196261682,STRONG_UPTREND,-10.75,BEARISH
2023-04-01,20400.11,BEARISH,64.1,51.02040816326531,RANGING,-7.27,NEUTRAL_BEARS
2023-05-01,19894.57,BULLISH,90.0,38.265306122448976,RANGING,0.11,NEUTRAL
2023-05-31,18234.27,BULLISH,69.5,47.16981132075472,RANGING,1.37,NEUTRAL
2023-06-30,18916.43,BULLISH,90.0,39.473684210526315,RANGING,-8.16,NEUTRAL_BEARS
2023-07-30,19916.56,BEARISH,79.9,56.310679611650485,RANGING,-12.64,BEARISH
2023-08-29,18484.03,BULLISH,87.0,41.3265306122449,RANGING,-5.19,NEUTRAL_BEARS
2023-09-28,17373.03,BEARISH,81.1,50.715746421267895,STRONG_DOWNTREND,-4.31,NEUTRAL
2023-10-28,17398.73,BULLISH,90.0,39.892473118279575,RANGING,-8.31,NEUTRAL_BEARS
2023-11-27,17525.06,BEARISH,73.2,54.08163265306123,RANGING,-4.56,NEUTRAL
2023-12-27,16624.84,BEARISH,69.9,46.96969696969697,STRONG_DOWNTREND,-0.04,NEUTRAL
2024-01-01,17047.39,BULLISH,90.0,38.22393822393823,STRONG_DOWNTREND,-2.97,NEUTRAL
2024-01-31,15485.07,BEARISH,90.0,61.4206981016534,STRONG_DOWNTREND,14.71,BULLISH
2024-03-01,16589.44,BEARISH,90.0,57.94392523364486,STRONG_DOWNTREND,9.89,NEUTRAL_BULLS
2024-03-31,16541.42,BEARISH,90.0,61.37339055793991,RANGING,7.12,NEUTRAL_BULLS
2024-04-30,17763.03,BEARISH,73.2,54.08163265306123,RANGING,-2.95,NEUTRAL
2024-05-30,18230.19,BEARISH,64.1,51.02040816326531,RANGING,-2.95,NEUTRAL
2024-06-29,17718.61,BULLISH,90.0,35.04672897196262,STRONG_UPTREND,16.44,BULLISH
2024-07-29,17238.34,BEARISH,56.6,48.54096520763187,RANGING,19.44,BULLISH
2024-08-28,17692.45,BULLISH,90.0,36.8421052631579,RANGING,8.29,NEUTRAL_BULLS
2024-09-27,20632.30,BEARISH,75.2,54.716981132075475,RANGING,-2.59,NEUTRAL
2024-10-27,20590.15,BULLISH,89.3,43.57298474945534,VOLATILE,-2.54,NEUTRAL
2024-11-26,19159.20,BULLISH,69.5,47.16981132075472,RANGING,21.83,BULLISH
2024-12-26,20098.29,BEARISH,64.1,51.02040816326531,RANGING,16.84,BULLISH
2025-01-01,20059.95,BEARISH,64.1,51.02040816326531,RANGING,15.69,BULLISH
2025-01-31,20225.11,BEARISH,90.0,68.67862969004894,RANGING,9.37,NEUTRAL_BULLS
2025-03-02,22941.32,BEARISH,69.2,46.72897196261682,STRONG_UPTREND,1.52,NEUTRAL
2025-04-01,23206.84,BULLISH,90.0,32.327586206896555,RANGING,3.73,NEUTRAL
2025-05-01,22119.41,BEARISH,75.2,54.716981132075475,RANGING,13.82,BULLISH
2025-05-31,23289.77,BEARISH,64.1,51.02040816326531,RANGING,7.68,NEUTRAL_BULLS
2025-06-30,24072.28,BEARISH,64.1,51.02040816326531,RANGING,8.54,NEUTRAL_BULLS
2025-07-30,25176.93,BEARISH,85.9,52.298850574712645,STRONG_UPTREND,4.64,NEUTRAL
2025-08-29,25077.62,BEARISH,64.1,51.02040816326531,RANGING,3.46,NEUTRAL
2025-09-28,26128.20,BULLISH,87.0,41.32231404958678,RANGING,-1.18,NEUTRAL
2025-10-28,26346.14,BULLISH,90.0,35.97122302158274,RANGING,1.59,NEUTRAL
2025-11-27,25945.93,BEARISH,64.1,51.02040816326531,RANGING,1.80,NEUTRAL
2025-12-27,25818.93,BULLISH,90.0,38.265306122448976,RANGING,2.30,NEUTRAL
2026-01-01,25630.54,BEARISH,64.1,51.02040816326531,RANGING,3.05,NEUTRAL
2026-01-31,27387.11,BEARISH,75.3,48.75717017208413,STRONG_UPTREND,-3.56,NEUTRAL
