HSI CONSTITUENTS WATCHLIST
""
Stock Code,Name,Sector,Target Weight,Current Price,Buy Zone,Stop Loss,2030 Target,Rating
0700.HK,Tencent,Technology,5%,TBD,TBD,-15%,TBD,🚀 Strong Buy
9988.HK,Alibaba,Technology,4%,TBD,TBD,-15%,TBD,🚀 Strong Buy
1810.HK,Xiaomi,Technology,3%,TBD,TBD,-15%,TBD,🚀 Buy
0981.HK,SMIC,Technology,3%,TBD,TBD,-20%,TBD,🚀 Buy
0005.HK,HSBC,Financials,8%,TBD,TBD,-10%,TBD,✅ Hold
1299.HK,AIA,Financials,7%,TBD,TBD,-12%,TBD,✅ Hold
3988.HK,Bank of China,Financials,5%,TBD,TBD,-10%,TBD,✅ Hold
0939.HK,CCB,Financials,5%,TBD,TBD,-10%,TBD,✅ Hold
0016.HK,Sun Hung Kai,Properties,4%,TBD,TBD,-12%,TBD,🚀 Buy
1113.HK,CK Asset,Properties,3%,TBD,TBD,-12%,TBD,🚀 Buy
1109.HK,CR Land,Properties,3%,TBD,TBD,-12%,TBD,🚀 Buy
0002.HK,CLP,Utilities,4%,TBD,TBD,-8%,TBD,⚠️ Hold
2638.HK,HK Electric,Utilities,3%,TBD,TBD,-8%,TBD,⚠️ Hold
0003.HK,Town Gas,Utilities,3%,TBD,TBD,-8%,TBD,⚠️ Hold
2319.HK,Mengniu,Consumer,5%,TBD,TBD,-12%,TBD,✅ Hold
9633.HK,Nongfu Spring,Consumer,5%,TBD,TBD,-15%,TBD,✅ Hold
0291.HK,CR Beer,Consumer,5%,TBD,TBD,-12%,TBD,✅ Hold
1766.HK,CRRC,Industrials,4%,TBD,TBD,-12%,TBD,🚀 Buy
2208.HK,Goldwind,Industrials,3%,TBD,TBD,-15%,TBD,🚀 Buy
0066.HK,MTR,Industrials,3%,TBD,TBD,-10%,TBD,🚀 Buy
0883.HK,CNOOC,Energy,5%,TBD,TBD,-15%,TBD,⚠️ Hold
